,Tweet_stemm
158,"['need', 'fire', 'emblem', 'three', 'hous', 'everi', 'music', 'track', 'replac', 'funni', 'footstep', 'thank']"
159,"['shyt', 'keyshia', 'still', 'show', 'slap', 'music', 'watch']"
160,"['charlieprid', 'boomer', 'whose', 'parent', 'expos', 'multipl', 'genr', 'cultur', 'especi', 'music', 'pray']"
161,"['great', 'music', 'make', 'feel', 'like', 'king', 'music', 'retali']"
162,"['charley', 'pride', 'sharecropp', 'rose', 'becom', 'countri', 'music', 'first', 'black', 'superstar', 'die', 'complicat']"
163,"['heard', 'richi', 'rich', 'jersey', 'club', 'music', 'fleet', 'dj', 'richi', 'rich', 'soundcloud']"
164,"['compos', 'harold', 'budd', 'collabor', 'cocteau', 'twin', 'die', 'covid', 'complic']"
165,"['twitter', 'put', 'hella', 'music']"
166,"['feder', 'judg', 'appoint', 'presid', 'trump', 'threw', 'lawsuit', 'file', 'campaign', 'wisconsin', 'sought', 'overturn']"
167,"['monstax', 'melon', 'music', 'award', 'complet', 'stage', 'perfect', 'offici', 'love']"
168,"['pulo', 'inyong', 'music', 'sleep', 'therapi']"
169,"['countri', 'music', 'star', 'charley', 'pride', 'die', 'coronaviru', 'complic']"
170,"['know', 'weve', 'lost', 'vote', 'categori', 'fact', 'music', 'award', 'beg', 'armi', 'particip', 'vot']"
171,"['coach', 'belong', 'wayn', 'agent', 'report', 'find', 'goldplat', 'calib', 'glock', 'handgun', 'pearl', 'grip']"
172,"['shii', 'fire']"
173,"['friday', 'share', 'send', 'music', 'drop', 'spotifi', 'link', 'follow', 'retweet', 'post']"
174,"['music', 'drug', 'addict']"
175,"['aw', 'keep', 'music', 'outsid', 'metal', 'favorit', 'metal', 'shit', 'year']"
176,"['brother', 'want', 'listen', 'music', 'moai']"
177,"['first', 'music', 'show', 'first', 'award', 'show', 'gfriend', 'enhypen']"
178,"['music', 'take', 'need']"
179,"['fact', 'music', 'award', 'next', 'leader', 'roti', 'year', 'danc', 'perform', 'global', 'hott']"
180,"['guy', 'shoot', 'direct', 'messag', 'want', 'music', 'play', 'heard']"
181,['music']
182,"['shroom', 'send', 'music']"
183,"['listen', 'favourit', 'music', 'someon', 'bond', 'experi', 'sweet', 'moment', 'intimaci', 'lookin']"
184,"['rest', 'peac', 'charli', 'pride', 'love', 'music', 'life', 'soul', 'continu', 'sing', 'soar', 'love', 'alway']"
185,"['still', 'cancel', 'imma', 'playlist', 'appl', 'music', 'tonight']"
186,"['open', 'order', 'jual', 'netflix', 'premium', 'disney', 'hotstar', 'premium', 'canva', 'wattpad', 'iqiyi', 'iflix']"
187,"['second', 'best', 'song']"
188,"['appreci', 'love', 'music', 'great', 'know', 'absolut', 'music', 'legend']"
189,[]
190,"['taylor', 'swift', 'save', 'western', 'music']"
191,"['random', 'music', 'tweet', 'listen', 'littl', 'bitter', 'hell', 'alic', 'chain']"
192,"['rihanna', 'said', 'pleas', 'stop', 'music', 'end', 'stop', 'music']"
193,"['singer', 'charley', 'pride', 'die', 'covid', 'pride', 'consid', 'countri', 'music', 'black', 'superstar', 'bigg']"
194,"['charley', 'pride', 'becam', 'countri', 'music', 'first', 'black', 'superstar', 'die', 'gtgt']"
195,"['heard', 'holiday', 'music', 'hope', 'hear', 'cover', 'charl', 'brown', 'wasnt', 'disappoint']"
196,"['seoul', 'music', 'award', 'vote', 'best', 'redvelvet', 'legend', 'rooki', 'prize', 'collect', 'vote', 'ticket']"
